ID,City Name,Latitude,Longitude,Country
4771980,Mathews,37.43708,-76.31994,United States
4772009,Matoaca,37.23043,-77.47749,United States
4772042,Maurertown,38.92983,-78.46362,United States
4772066,Max Meadows,36.9704,-80.94953,United States
4772354,McLean,38.93428,-77.17748,United States
4772547,Meadowview,36.76039,-81.8629,United States
4772566,Mechanicsville,37.60876,-77.37331,United States
4772735,Merrifield,38.87428,-77.22693,United States
4772739,Merrimac,38.45263,-78.07861,United States
4772740,Merrimac,37.18957,-80.42561,United States
4772778,Metompkin,37.76929,-75.60271,United States
4772904,Middleburg,38.96872,-77.73555,United States
4772927,Middletown,39.02761,-78.28056,United States
4773677,Montclair,38.61095,-77.33971,United States
4773690,Monterey,38.41234,-79.5806,United States
4773747,Montrose,37.5207,-77.37831,United States
4773752,Montross,38.09513,-76.82746,United States
4773757,Montvale,37.38458,-79.73115,United States
4774075,Motley,37.06959,-79.34114,United States
4774282,Mount Hermon,36.67847,-79.42225,United States
4774352,Mount Jackson,38.74595,-78.64224,United States
4774686,Mount Sidney,38.25735,-78.95947,United States
4774976,Mountain Road,36.75958,-78.98696,United States
4775438,Narrows,37.33151,-80.81119,United States
4775439,Narrows,37.20542,-79.95893,United States
4775601,Nellysford,37.89042,-78.87224,United States
4775660,New Baltimore,38.76734,-77.72833,United States
4775705,New Castle,37.50013,-80.11088,United States
4775759,New Hope,38.19791,-78.90586,United States
4775859,New Market,38.6479,-78.67141,United States
4775981,Newington,38.73845,-77.18498,United States
4776024,Newport News,37.08339,-76.46965,United States
4776181,Nokesville,38.69873,-77.57971,United States
4776222,Norfolk,36.84681,-76.28522,United States
4776469,North Shore,37.08209,-79.65836,United States
4776472,North Springfield,38.80428,-77.2047,United States
4776585,Norton,36.93343,-82.62905,United States
4776694,Oak Grove,38.984,-77.40388,United States
4776843,Oak Level,36.81542,-79.93559,United States
4776970,Oakton,38.88095,-77.30082,United States
4777024,Occoquan,38.68373,-77.26026,United States
4777405,Onancock,37.7118,-75.7491,United States
4777417,Onley,37.69096,-75.71604,United States
4777424,Opal,38.62095,-77.79999,United States
4777454,Orange,38.24541,-78.11083,United States
4777824,Palmyra,37.86097,-78.26334,United States
4777858,Pannill Fork,36.70903,-80.0131,United States
4777994,Parksley,37.78207,-75.65354,United States
4778077,Passapatanzy,38.29735,-77.31415,United States
4778128,Patrick Springs,36.6418,-80.19505,United States
4778312,Pearisburg,37.32673,-80.73702,United States
4778381,Pembroke,37.31957,-80.63895,United States
4778415,Penhook,36.98237,-79.62808,United States
4778452,Pennington Gap,36.75842,-83.02711,United States
4778626,Petersburg,37.22793,-77.40193,United States
4778945,Pimmit Hills,38.91289,-77.20081,United States
4779923,Poquoson,37.12237,-76.34578,United States
4779999,Portsmouth,36.83543,-76.29827,United States
4780011,Portsmouth Heights,36.82098,-76.36883,United States
4780087,Potomac Mills,38.64595,-77.29415,United States
