City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
89,"ketchikan,us",55.3422,-131.6461,33.8,80,90,3.44,US,1611619082
90,"dingle,ie",52.1408,-10.2689,44.8,87,100,21.25,IE,1611619082
91,"vaini,to",-21.2,-175.2,82.4,83,75,9.22,TO,1611618899
92,"nokaneng,bw",-19.6667,22.2667,70.99,84,93,4.38,BW,1611619083
93,"abaza,ru",52.655,90.0928,-4.31,87,100,2.28,RU,1611619083
94,"alta floresta,br",-9.8756,-56.0861,74.08,85,72,0.65,BR,1611619083
95,"san quintin,mx",30.4833,-115.95,54.84,57,77,33.82,MX,1611618897
96,"cayenne,gf",4.9333,-52.3333,77.0,100,75,2.3,GF,1611619083
97,"ternate,id",0.8,127.4,80.19,79,99,7.81,ID,1611619083
98,"faanui,pf",-16.4833,-151.75,81.14,76,46,17.9,PF,1611619077
99,"altay,cn",47.8667,88.1167,-1.34,80,100,1.14,CN,1611619083
100,"mahebourg,mu",-20.4081,57.7,71.6,94,20,6.91,MU,1611619083
101,"tamasane,bw",-22.4184,27.4013,68.81,91,100,13.0,BW,1611619083
102,"nganjuk,id",-7.6051,111.9035,77.36,79,87,2.62,ID,1611619084
103,"cherskiy,ru",68.75,161.3,-36.65,82,61,2.21,RU,1611619076
104,"roma,au",-26.5833,148.7833,83.93,47,69,11.77,AU,1611619084
105,"busselton,au",-33.65,115.3333,64.99,74,32,5.99,AU,1611618894
106,"rikitea,pf",-23.1203,-134.9692,79.83,71,1,14.05,PF,1611619076
107,"katsuura,jp",35.1333,140.3,50.0,70,75,10.36,JP,1611619081
108,"lincoln,nz",-43.65,172.4833,78.01,53,21,9.22,NZ,1611619084
109,"hermanus,za",-34.4187,19.2345,62.01,87,0,7.45,ZA,1611619084
110,"vagur,fo",61.4732,-6.8119,36.52,74,30,11.9,FO,1611619084
111,"sandpoint,us",48.2766,-116.5533,32.0,69,1,4.61,US,1611619085
112,"ribeira grande,pt",38.5167,-28.7,62.06,88,100,20.98,PT,1611619085
113,"kothapet,in",19.3333,79.4833,65.32,59,16,1.28,IN,1611619085
114,"kidal,ml",18.4411,1.4078,63.91,19,5,9.71,ML,1611619085
115,"albanel,ca",48.8832,-72.4487,14.0,73,24,5.75,CA,1611619085
116,"sulangan,ph",11.1373,123.7228,78.15,75,8,10.13,PH,1611619085
117,"atuona,pf",-9.8,-139.0333,78.84,76,19,19.01,PF,1611619080
118,"punta arenas,cl",-53.15,-70.9167,46.4,49,20,31.07,CL,1611618984
119,"albany,au",-35.0169,117.8917,59.0,88,40,8.05,AU,1611619079
120,"kodiak,us",57.79,-152.4072,39.2,60,75,9.22,US,1611619085
121,"rikitea,pf",-23.1203,-134.9692,79.83,71,1,14.05,PF,1611619076
122,"avarua,ck",-21.2078,-159.775,86.0,70,40,14.97,CK,1611619085
123,"qaanaaq,gl",77.484,-69.3632,6.48,63,0,7.25,GL,1611619080
124,"bathsheba,bb",13.2167,-59.5167,77.0,73,20,16.11,BB,1611619086
125,"bilma,ne",18.6853,12.9164,58.84,27,6,5.14,NE,1611619086
126,"hasaki,jp",35.7333,140.8333,41.0,93,20,8.05,JP,1611618911
127,"hithadhoo,mv",-0.6,73.0833,81.23,73,91,2.93,MV,1611618893
128,"rudbar,af",30.15,62.6,41.58,47,0,3.87,AF,1611619086
129,"chuy,uy",-33.6971,-53.4616,74.01,85,3,10.38,UY,1611619075
130,"bouna,ci",9.2667,-3.0,74.46,20,47,2.55,CI,1611619086
131,"avarua,ck",-21.2078,-159.775,86.0,70,40,14.97,CK,1611619085
132,"kalaleh,ir",37.3807,55.4916,42.31,54,0,5.79,IR,1611619086
133,"hobart,au",-42.8794,147.3294,70.0,45,75,16.11,AU,1611619037
134,"aklavik,ca",68.2191,-135.0107,-7.6,77,83,3.44,CA,1611619086
135,"bluff,nz",-46.6,168.3333,80.01,46,100,21.99,NZ,1611619075
136,"taoudenni,ml",22.6783,-3.9836,70.23,20,80,9.6,ML,1611619087
137,"barrow,us",71.2906,-156.7887,-5.8,77,1,11.5,US,1611618903
138,"hofn,is",64.2539,-15.2082,23.76,89,67,17.54,IS,1611619087
139,"saint-augustin,ca",51.226,-58.6502,32.79,93,99,13.87,CA,1611619082
140,"tiksi,ru",71.6872,128.8694,-40.38,80,96,6.73,RU,1611619076
141,"yellowknife,ca",62.456,-114.3525,-20.0,69,75,9.22,CA,1611619087
